Date,Time,ODO(km),Distance(km),Battery_Swap,Battery Code 
19/04/2024,2:48:00 PM,5946,79,1,1343
20/04/2024,10:12:00 PM,6019,73,1,1227
21/04/2024,,6019,0,,
22/04/2024,,6019,0,,
23/04/2024,,6019,0,,
24/04/2024,,6019,0,,
25/04/2024,9:16:00 PM,6101,82,1,1149
26/04/2024,6:11:00 PM,6166,65,1,1343
27/04/2024,,6166,0,,
28/04/2024,9:32:00 PM,6231,65,1,1149
,3:39:00 PM,6298,67,1,1227
29/04/2024,9:42:00 AM,6358,60,1,1343
,2:19:00 PM,6401,43,1,1338
,7:21:00 PM,6457,56,1,1227
30/04/2024,7:47:00 AM,6511,54,1,1343
,2:23:00 PM,6559,48,1,1149
,7:14:00 PM,6599,40,1,1227
01/05/2024,12:25:00 PM,6654,55,1,1338
,6:28:00 PM,6716,62,1,1343
,11:00:00 PM,6766,50,1,1149
02/05/2024,2:49:00 PM,6813,47,1,1227
,7:40:00 PM,6864,51,1,1338
,10:50:00 PM,6908,44,1,1149
03/05/2024,10:49:00 AM,6942,34,1,1343
,3:26:00 PM,6998,56,1,1338
,8:10:00 PM,7045,47,1,1227
04/05/2024,10:52:00 AM,7090,45,1,1149
,7:12:00 PM,7148,58,1,1343
,11:30:00 PM,7193,45,1,1338
05/05/2024,4:23:00 PM,7253,60,1,1149
,9:35:00 PM,7294,41,1,1343
06/05/2024,1:12:00 PM,7340,46,1,1227
,5:10:00 PM,7369,29,1,1338
,10:03:00 PM,7410,41,1,1149
07/05/2024,1:42:00 PM,7446,36,1,1343
,6:12:00 PM,7507,61,1,1227
08/05/2024,4:09:00 PM,7601,94,1,1149
,8:52:00 PM,7647,46,1,1227
09/05/2024,7:28:00 PM,7724,77,1,1343
10/05/2024,12:25:00 PM,7769,45,1,1149
,5:35:00 PM,7814,45,1,1227
,9:35:00 PM,7865,51,1,1338
11/05/2024,11:40:00 AM,7903,38,1,1343
,6:11:00 PM,7959,56,1,1149
,11:30:00 PM,8011,52,1,1227
12/05/2024,11:26:00 AM,8063,52,1,1338
,3:35:00 PM,8114,51,1,1343
,11:55:00 PM,8150,36,1,1149
13/05/2024,,8150,0,,
14/05/2024,3:02:00 PM,8253,103,1,1227
15/05/2024,,8253,0,,
16/05/2024,7:20:00 PM,8335,82,1,1343
17/05/2024,7:11:00 PM,8403,68,1,1338
,11:41:00 PM,8445,42,1,1149
18/05/2024,4:36:00 PM,8503,58,1,1227
19/05/2024,3:16:00 PM,8564,61,1,1149
20/05/2024,3:54:00 PM,8605,41,1,1338
,9:36:00 PM,8657,52,1,1343
21/05/2024,2:17:00 PM,8687,30,1,1149
22/05/2024,,8687,0,,
23/05/2024,5:20:00 PM,8749,62,1,1338
24/05/2024,1:21:00 PM,8804,55,1,1227
25/05/2024,4:11:00 PM,8864,60,1,1343
,9:55:00 PM,8926,62,1,1149
26/05/2024,5:15:00 PM,8990,64,1,1338
27/05/2024,10:12:00 AM,9035,45,1,1227
,2:06:00 PM,9076,41,1,1343
,7:37:00 PM,9127,51,1,1149
28/05/2024,11:36:00 AM,9175,48,1,1338
,4:38 PM,9208,33,1,1227
29/05/2024,12:30:00 PM,9253,45,1,1149
,4:46:00 PM,9266,13,1,1343
30/05/2024,9:30:00 AM,9310,44,1,1338
,2:35:00 PM,9334,24,1,1227
,8:21:00 PM,9356,22,1,1149
31/05/2024,10:25:00 AM,9371,15,1,1343
,7:50:00 PM,9399,28,1,1338
01/06/2024,3:03:00 PM,9407,8,1,1149
,7:37:00 PM,9427,20,1,1343
02/06/2024,12:34:00 PM,9456,29,1,1227
,3:13:00 PM,9485,29,1,1343
,11:30:00 PM,9546,61,1,1149
03/06/2024,4:16:00 PM,9578,32,1,1338
04/06/2024,6:44:00 PM,9608,30,1,1343
05/06/2024,3:05:00 PM,9623,15,1,1227
,8:13:00 PM,9631,8,1,1338
,11:10:00 PM,9633,2,1,1149
06/06/2024,12:48:00 PM,9639,6,1,1343
,6:30:00 PM,9659,20,1,1338
07/06/2024,4:45:00 PM,9700,41,1,1149
08/06/2024,,9700,0,,
09/06/2024,10:05 AM,9740,40,1,1227
,4:05:00 PM,9776,36,1,1343
,10:45:00 PM,9820,44,1,1338
10/06/2024,4:13:00 PM,9858,38,1,1227
,11:05:00 PM,9902,44,1,1149
11/06/2024,4:40:00 PM,9935,33,1,1343
12/06/2024,3:26:00 PM,9986,51,1,1338
13/06/2024,11:05:00 AM,10034,48,1,1149
,3:03:00 PM,10065,31,1,1227
,7:58:00 PM,10103,38,1,1343
14/06/2024,,10103,0,,
15/06/2024,,10103,0,,
16/06/2024,,10103,0,,
17/06/2024,,10103,0,,
18/06/2024,7:01:00 PM,10144,41,1,1149
19/06/2024,2:39:00 PM,10198,54,1,1338
,5:28:00 PM,10228,30,1,1343
,9:39:00 PM,10243,15,1,1343
20/06/2024,2:49:00 PM,10297,54,1,1149
,7:20:00 PM,10345,48,1,1343
21/06/2024,12:05:00 PM,10370,25,1,1227
,6:06:00 PM,10432,62,1,1149
,10:22:00 PM,10469,37,1,1343
22/06/2024,6:24:00 PM,10501,32,1,1227
23/06/2024,,10501,0,,
24/06/2024,11:52:00 AM,10560,59,1,1149
,7:10:00 PM,10610,50,1,1343
,11:21:00 PM,10651,41,1,1227
25/06/2024,4:02:00 PM,10695,44,1,1338
,9:28:00 PM,10718,23,1,1149
26/06/2024,,10718,0,,
27/06/2024,,10718,0,,
28/06/2024,4:05:00 PM,10768,50,1,1227
,8:02:00 PM,10801,33,1,1338
29/06/2024,,10801,0,,
30/06/2024,3:43:00 PM,10853,52,1,1149
,6:31:00 PM,10886,33,1,1343
,9:50:00 PM,10924,38,1,1227
01/07/2024,1:58:00 PM,10963,39,1,1338
02/07/2024,3:16:00 PM,10987,24,1,1343
,8:43:00 PM,11002,15,1,1227
03/07/2024,10:42:00 AM,11011,9,1,1338
,4:43:00 PM,11011,0,1,1343
04/07/2024,10:42:00 AM,11024,13,1,1338
05/07/2024,4:55:00 PM,11066,42,1,1343
06/07/2024,1:25:00 PM,11100,34,1,1338
07/07/2024,,11100,0,,
08/07/2024,10:28:00 AM,11101,1,1,1227
09/07/2024,10:30:00 PM,11101,0,1,1338
10/07/2024,10:37:00 PM,11116,15,1,1149
